Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
3_,D7,BLACK,,0.125024,0.000548389,0.00438626,,28.415,,0.61,0.31,0.08,0.98,0.02,,0.61,0.31,0.08,0.98,0.02
3_,D7,CAUCASIAN,,0.1515,0.000546746,0.00360888,,26.867,,0.61,0.31,0.08,0.98,0.02,,0.61,0.31,0.08,0.98,0.02
3_,D7,HISPANIC,,0.158743,0.000651609,0.00410481,,23.814,,0.61,0.31,0.08,0.98,0.02,,0.61,0.31,0.08,0.98,0.02
3_,D7,ASIAN,,0.257965,0.00042432,0.00164488,,29.115,,0.61,0.31,0.08,0.98,0.02,,0.61,0.31,0.08,0.98,0.02
3_,CSF,BLACK,,0.138339,6.06908e-05,0.000438711,,28.252,,0.53,0.44,0.03,0.98,0.02,,0.53,0.44,0.03,0.98,0.02
3_,CSF,CAUCASIAN,,0.0976322,7.50608e-05,0.000768812,,23.636,,0.53,0.44,0.03,0.98,0.02,,0.53,0.44,0.03,0.98,0.02
3_,CSF,HISPANIC,,0.0974445,4.16984e-05,0.00042792,,19.271,,0.53,0.44,0.03,0.98,0.02,,0.53,0.44,0.03,0.98,0.02
3_,CSF,ASIAN,,0.100727,0.00012739,0.00126471,,16.15,,0.53,0.44,0.03,0.98,0.02,,0.53,0.44,0.03,0.98,0.02
3_,D3,ASIAN,,5.29122,0.0516839,0.00976787,,70.238,,0.78,0.19,0.03,0.98,0.02,,0.78,0.19,0.03,0.98,0.02
3_,D3,HISPANIC,,2.46766,0.0409956,0.0166131,,70.292,,0.78,0.19,0.03,0.98,0.02,,0.78,0.19,0.03,0.98,0.02
3_,D3,CAUCASIAN,,3.64615,0.0454277,0.0124591,,70.333,,0.78,0.19,0.03,0.98,0.02,,0.78,0.19,0.03,0.98,0.02
3_,D3,BLACK,,4.1579,0.0494169,0.0118851,,72.145,,0.78,0.19,0.03,0.98,0.02,,0.78,0.19,0.03,0.98,0.02
3_,TH01,BLACK,,0.309366,0.0089316,0.0288707,,79.307,,0.77,0.2,0.03,0.98,0.02,,0.77,0.2,0.03,0.98,0.02
3_,TH01,ASIAN,,0.397661,0.0047532,0.0119529,,61.416,,0.77,0.2,0.03,0.98,0.02,,0.77,0.2,0.03,0.98,0.02
3_,TH01,HISPANIC,,0.163462,0.00515303,0.0315244,,73.221,,0.77,0.2,0.03,0.98,0.02,,0.77,0.2,0.03,0.98,0.02
3_,TH01,CAUCASIAN,,0.200565,0.00307041,0.0153088,,76.028,,0.77,0.2,0.03,0.98,0.02,,0.77,0.2,0.03,0.98,0.02
3_,D13,HISPANIC,,0.00394341,6.85626e-07,0.000173866,,32.134,,0.73,0.25,0.02,0.98,0.02,,0.73,0.25,0.02,0.98,0.02
3_,D13,BLACK,,0.00303046,5.20252e-08,1.71674e-05,,41.585,,0.73,0.25,0.02,0.98,0.02,,0.73,0.25,0.02,0.98,0.02
3_,D13,CAUCASIAN,,0.00518714,3.93391e-07,7.58396e-05,,37.246,,0.73,0.25,0.02,0.98,0.02,,0.73,0.25,0.02,0.98,0.02
3_,D13,ASIAN,,0.00979446,5.53052e-06,0.000564658,,27.837,,0.73,0.25,0.02,0.98,0.02,,0.73,0.25,0.02,0.98,0.02
3_,D16,CAUCASIAN,,1.35048,0.0202897,0.015024,,27.468,,0.77,0.2,0.03,0.98,0.02,,0.77,0.2,0.03,0.98,0.02
